,time,location,avg_7
128,2021-05-09,TAP,0.2094055674216271
129,2021-05-10,TAP,0.1549525083982597
130,2021-05-11,TAP,0.1369114179856881
131,2021-05-12,TAP,0.1294321126450683
132,2021-05-13,TAP,0.1619827369350965
133,2021-05-14,TAP,0.1818148579191345
134,2021-05-15,TAP,0.1623386251079333
135,2021-05-16,TAP,0.096900333412163
136,2021-05-17,TAP,0.0129249504483614
137,2021-05-18,TAP,-0.2441321317651112
138,2021-05-19,TAP,-0.4323881229129151
139,2021-05-20,TAP,-0.5179909617014531
140,2021-05-21,TAP,-0.6103762170370761
141,2021-05-22,TAP,-0.9289217691872604
142,2021-05-23,TAP,-1.3252481581599158
143,2021-05-24,TAP,-1.5222902624676282
144,2021-05-25,TAP,-1.6807765887554849
145,2021-05-26,TAP,-1.7578481932597865
146,2021-05-27,TAP,-1.8499829983159373
147,2021-05-28,TAP,-1.9237005663595528
148,2021-05-29,TAP,-2.14950214825876
149,2021-05-30,TAP,-2.5093496687370203
150,2021-05-31,TAP,-2.627769035017928
151,2021-06-01,TAP,-2.665240847502011
152,2021-06-02,TAP,-2.6907299605063355
153,2021-06-03,TAP,-2.7142194285822794
154,2021-06-04,TAP,-2.7900082526305137
155,2021-06-05,TAP,-3.040283295232129
156,2021-06-06,TAP,-3.399799802970455
157,2021-06-07,TAP,-3.510201555948879
158,2021-06-08,TAP,-3.5375483166747377
159,2021-06-09,TAP,-3.5365857131205383
160,2021-06-10,TAP,-3.5424989031576417
161,2021-06-11,TAP,-3.54134332659997
162,2021-06-12,TAP,-3.5154932372652925
163,2021-06-13,TAP,-3.4180900245164025
164,2021-06-14,TAP,-3.616186507608363
165,2021-06-15,TAP,-3.7080878228475296
166,2021-06-16,TAP,-3.705311857342394
167,2021-06-17,TAP,-3.693658097676167
168,2021-06-18,TAP,-3.6856350193562726
169,2021-06-19,TAP,-3.6609639685692903
170,2021-06-20,TAP,-3.7573801734519474
171,2021-06-21,TAP,-3.556026234621257
172,2021-06-22,TAP,-3.47321500268512
