,time,6.2 Hz - 12.5 Hz,8.1 Hz - 16.2 Hz
105,2021-05-20 06:30:00,-88.1271514893,-86.3725891113
106,2021-05-20 07:00:00,-87.6734542847,-85.9689407349
107,2021-05-20 07:30:00,-87.0015945435,-85.5309448242
108,2021-05-20 08:00:00,-86.8573150635,-85.3044204712
109,2021-05-20 08:30:00,-86.8548812866,-84.942199707
110,2021-05-20 09:00:00,-87.2208786011,-85.622428894
111,2021-05-20 09:30:00,-87.5427780151,-86.050163269
112,2021-05-20 10:00:00,-87.6002960205,-86.2292327881
113,2021-05-20 10:30:00,-87.9613571167,-86.6616744995
114,2021-05-20 11:00:00,-88.3861236572,-87.2578582764
115,2021-05-20 11:30:00,-88.6030807495,-87.5214691162
116,2021-05-20 12:00:00,-88.6477890015,-87.542350769
117,2021-05-20 12:30:00,-88.5577163696,-87.3930053711
118,2021-05-20 13:00:00,-88.5548629761,-87.5391235352
119,2021-05-20 13:30:00,-88.5412368774,-87.798286438
120,2021-05-20 14:00:00,-89.0671234131,-88.1787414551
121,2021-05-20 14:30:00,-90.3652267456,-89.4677505493
122,2021-05-20 15:00:00,-92.9022903442,-91.9579086304
123,2021-05-20 15:30:00,-96.1182861328,-94.5621795654
124,2021-05-20 16:00:00,-99.4600830078,-97.0440292358
125,2021-05-20 16:30:00,-100.867279053,-98.2926254272
126,2021-05-20 17:00:00,-102.118019104,-99.2562637329
127,2021-05-20 17:30:00,-102.715812683,-99.2236251831
128,2021-05-20 18:00:00,-102.74710083,-99.519203186
129,2021-05-20 18:30:00,-102.850997925,-99.7166976929
130,2021-05-20 19:00:00,-101.351165771,-98.7052688599
131,2021-05-20 19:30:00,-101.500640869,-98.8352203369
132,2021-05-20 20:00:00,-99.9197463989,-97.4441070557
133,2021-05-20 20:30:00,-97.9809494019,-95.8442687988
134,2021-05-20 21:00:00,-93.5539855957,-92.3144836426
135,2021-05-20 21:30:00,-89.5448608398,-88.6557922363
136,2021-05-20 22:00:00,-87.7220077515,-86.8225631714
137,2021-05-20 22:30:00,-87.5357284546,-86.5200653076
138,2021-05-21 00:00:00,-86.8289260864,-85.3635406494
139,2021-05-21 00:30:00,-86.7794952393,-85.2422561646
140,2021-05-21 01:00:00,-86.7120132446,-85.2036514282
141,2021-05-21 01:30:00,-87.3408203125,-85.6371459961
142,2021-05-21 02:00:00,-87.4483032227,-85.7528839111
143,2021-05-21 02:30:00,-87.2681427002,-85.6102218628
144,2021-05-21 03:00:00,-87.3922653198,-85.7552185059
145,2021-05-21 03:30:00,-87.4063949585,-85.7363510132
146,2021-05-21 04:00:00,-87.7468338013,-86.0330123901
147,2021-05-21 04:30:00,-87.8707809448,-86.1692962646
148,2021-05-21 05:00:00,-87.6951675415,-86.0940246582
149,2021-05-21 05:30:00,-87.708366394,-86.1328125
150,2021-05-21 06:00:00,-87.8798141479,-86.3028335571
151,2021-05-21 06:30:00,-88.0634002686,-86.4187088013
152,2021-05-21 07:00:00,-87.7245330811,-86.0593566895
153,2021-05-21 07:30:00,-87.0709457397,-85.5784759521
154,2021-05-21 08:00:00,-86.5464706421,-85.1722412109
155,2021-05-21 08:30:00,-86.3273773193,-84.5321273804
156,2021-05-21 09:00:00,-87.0136795044,-85.3446884155
157,2021-05-21 09:30:00,-87.390335083,-85.9424209595
158,2021-05-21 10:00:00,-88.206817627,-86.6851501465
159,2021-05-21 10:30:00,-88.5347366333,-87.0798187256
160,2021-05-21 11:00:00,-88.5391998291,-87.2167053223
161,2021-05-21 11:30:00,-88.5577697754,-87.4421463013
162,2021-05-21 12:00:00,-88.2855224609,-87.1806411743
163,2021-05-21 12:30:00,-88.3075790405,-87.1704101562
164,2021-05-21 13:00:00,-88.1848297119,-87.1966094971
165,2021-05-21 13:30:00,-88.3889389038,-87.4483261108
166,2021-05-21 14:00:00,-89.3573379517,-88.123588562
167,2021-05-21 14:30:00,-89.7590789795,-88.4720535278
168,2021-05-21 15:00:00,-91.4915161133,-90.0878982544
169,2021-05-21 15:30:00,-94.5840454102,-92.9010162354
170,2021-05-21 16:00:00,-97.3963928223,-95.3117599487
171,2021-05-21 16:30:00,-99.6917266846,-97.2281646729
172,2021-05-21 17:00:00,-100.081443787,-97.8681106567
173,2021-05-21 17:30:00,-101.45098114,-98.712310791
174,2021-05-21 18:00:00,-102.392410278,-99.0434112549
175,2021-05-21 18:30:00,-101.622612,-98.6269454956
176,2021-05-21 19:00:00,-100.277236938,-97.9063110352
177,2021-05-21 19:30:00,-99.3378829956,-96.9555511475
178,2021-05-21 20:00:00,-100.613182068,-97.37084198
179,2021-05-21 20:30:00,-100.373428345,-96.7996444702
180,2021-05-21 21:00:00,-96.9328079224,-94.7138824463
181,2021-05-21 21:30:00,-92.5266418457,-91.0997543335
182,2021-05-21 22:00:00,-90.2808990479,-89.1957931519
183,2021-05-21 22:30:00,-90.0306777954,-88.9796981812
184,2021-05-22 00:00:00,,
