time,google
2020-11-07,-9.0
2020-11-08,-7.0
2020-11-09,-13.0
2020-11-10,-13.0
2020-11-11,-9.0
2020-11-12,-13.0
2020-11-13,-4.0
2020-11-14,-6.0
2020-11-15,1.0
2020-11-16,-9.0
2020-11-17,-10.0
2020-11-18,-8.0
2020-11-19,-11.0
2020-11-20,-2.0
2020-11-21,-7.0
2020-11-22,-1.0
2020-11-23,-12.0
2020-11-24,-12.0
2020-11-25,-10.0
2020-11-26,-11.0
2020-11-27,-4.0
2020-11-28,-10.0
2020-11-29,-7.0
2020-11-30,-13.0
2020-12-01,-14.0
2020-12-02,-11.0
2020-12-03,-15.0
2020-12-04,-5.0
2020-12-05,-6.0
2020-12-06,-1.0
2020-12-07,-12.0
2020-12-08,-15.0
2020-12-09,-14.0
2020-12-10,-13.0
2020-12-11,-4.0
2020-12-12,-3.0
2020-12-13,2.0
2020-12-14,-12.0
2020-12-15,-14.0
2020-12-16,-12.0
2020-12-17,-11.0
2020-12-18,-2.0
2020-12-19,-8.0
2020-12-20,-4.0
2020-12-21,-14.0
2020-12-22,-12.0
2020-12-23,-14.0
2020-12-24,-12.0
2020-12-25,-4.0
2020-12-26,-9.0
2020-12-27,-8.0
2020-12-28,-12.0
2020-12-29,-12.0
2020-12-30,-11.0
2020-12-31,3.0
2021-01-01,-16.0
2021-01-02,-21.0
2021-01-03,-10.0
2021-01-04,-16.0
2021-01-05,-17.0
2021-01-06,-15.0
2021-01-07,-20.0
2021-01-08,-14.0
2021-01-09,-23.0
2021-01-10,-18.0
2021-01-11,-19.0
2021-01-12,-16.0
2021-01-13,-13.0
2021-01-14,-17.0
2021-01-15,-11.0
2021-01-16,-21.0
2021-01-17,-25.0
2021-01-18,-19.0
2021-01-19,-18.0
2021-01-20,-12.0
2021-01-21,-19.0
2021-01-22,-18.0
2021-01-23,-23.0
2021-01-24,-20.0
2021-01-25,-19.0
2021-01-26,-19.0
2021-01-27,-19.0
2021-01-28,-23.0
2021-01-29,-19.0
2021-01-30,-24.0
2021-01-31,-23.0
2021-02-01,-21.0
2021-02-02,-21.0
2021-02-03,-18.0
2021-02-04,-20.0
2021-02-05,-17.0
2021-02-06,-24.0
2021-02-07,-23.0
2021-02-08,-15.0
2021-02-09,-9.0
2021-02-10,-19.0
2021-02-11,-36.0
2021-02-12,-21.0
2021-02-13,-18.0
2021-02-14,-3.0
2021-02-15,-4.0
2021-02-16,-13.0
2021-02-17,-17.0
2021-02-18,-19.0
2021-02-19,-19.0
2021-02-20,-16.0
2021-02-21,-14.0
2021-02-22,-15.0
2021-02-23,-15.0
2021-02-24,-14.0
2021-02-25,-15.0
2021-02-26,-8.0
2021-02-27,-16.0
2021-02-28,-5.0
2021-03-01,-10.0
2021-03-02,-16.0
2021-03-03,-15.0
