,time,avg_1,avg_3,avg_7
277,2020-09-03,-2.398664315270981,0.433944815138592,-1.5843506057352759
278,2020-09-04,-3.1755655250439987,-2.080775686024682,-1.705641868612679
279,2020-09-05,3.6324576584255586,-1.1241591375168867,-0.2946351539308726
280,2020-09-06,5.907430505501361,2.2613343942249293,1.3155628112173023
281,2020-09-07,4.4860120976824325,4.920181869481932,1.9154832731183844
282,2020-09-08,1.3682757593468562,4.456140349630241,1.5366350576550227
283,2020-09-09,-6.471054451296182,1.6587463405683296,1.1474746457875762
284,2020-09-10,-7.108235292579056,-3.598385093760858,0.9893259562254973
285,2020-09-11,-6.505296125437471,-6.7775575918759365,0.7847069084083066
286,2020-09-12,-6.4002897358314215,-6.721391446406352,-2.8232966928416583
287,2020-09-13,-7.187574322989766,-6.726637152653472,-4.8608341820701595
288,2020-09-14,-6.668543715549873,-6.777313554989948,-6.116222664208528
289,2020-09-15,-6.073381147231765,-6.76659152282079,-6.735040528547785
290,2020-09-16,-5.690130769607921,-6.234589665267135,-6.655218128720728
291,2020-09-17,-2.372418969068677,-4.78341085503505,-6.165859491810332
292,2020-09-18,-1.561902077819169,-2.785029148807937,-5.422430904178918
293,2020-09-19,-2.239567009232048,-2.0297580151699486,-4.746936691109452
294,2020-09-20,-4.210677124529448,-2.786086235839461,-4.213259943732988
295,2020-09-21,-2.861646918443003,-2.9151824132921194,-3.4891064449678875
296,2020-09-22,-1.5370114374877404,-2.0080172903537457,-2.3444380938361618
297,2020-09-23,-1.2156277908169644,-1.58111182279698,-1.8112306885808769
298,2020-09-24,0.33362339549237097,-0.8556599880006203,-1.3882733753308387
299,2020-09-25,0.9292525179072395,-0.0707180164606028,-0.9736333584622815
300,2020-09-26,1.127486613632799,0.8142224896641648,-0.5589355777675896
301,2020-09-27,0.5981148843549298,0.9800683202240947,-0.17062785780264775
302,2020-09-28,-2.6331952757536023,-0.1280517235378946,-0.22278939214247692
303,2020-09-29,-1.4624749087129116,-1.0214154699802622,-0.2060284681786734
304,2020-09-30,-3.323777788120793,-2.6783233869805887,-0.444311987440306
305,2020-10-01,-1.0314899023908988,-2.1519775944096016,-0.7257325514115065
306,2020-10-02,0.7307582670789867,-1.5194541043428842,-0.8206783615184352
307,2020-10-03,-3.8547825003557485,-1.5301035614380627,-1.579749624179456
308,2020-10-04,-3.0948324083005425,-2.5200420932440415,-2.5070127309593846
309,2020-10-05,-1.5041430267083027,-3.1894695347187336,-2.235898874519803
310,2020-10-06,2.4819640459333767,-0.46975290894655186,-1.7574305081614683
311,2020-10-07,2.8381786800487903,1.2463993653209549,-0.7271950308552205
312,2020-10-08,7.383850459706731,2.6541785361844377,-0.4584026187651583
313,2020-10-09,,2.8467789582820826,-1.4349404617034403
314,2020-10-10,,7.383850459706731,0.2407488939952091
315,2020-10-11,,,1.2547691109312569
316,2020-10-12,-1.7554960954501029,-1.7554960954501029,1.7904988706496738
317,2020-10-13,-1.850967159297941,-2.1425166959112234,-1.2056652268274344
318,2020-10-14,1.3152401004252727,-1.03832572611326,-1.029858836181844
319,2020-10-15,1.076205128415655,-0.2757056027998585,-0.5256521908541023
320,2020-10-16,-1.205156242873919,0.5297947208732562,-0.6503256443528729
321,2020-10-17,-0.34000381715633227,-0.18690192753570334,-0.6025915387017011
322,2020-10-18,0.15105898371409224,-0.484884857710778,-0.5211961852030553
323,2020-10-19,0.1336405277424362,0.015874601780721396,-0.30386804643966703
324,2020-10-20,1.7034597370294557,0.8240567185969386,0.6921669667279393
325,2020-10-21,2.0715488050916226,1.4682239357042621,0.8478710172732784
326,2020-10-22,2.6059161919436256,2.350373219744678,1.1382685006307185
327,2020-10-23,4.942573417666193,3.4454145013686808,1.7684337796319112
328,2020-10-24,3.7861465959564224,3.80212644471426,2.276934116833819
329,2020-10-25,1.3985813896920027,3.550835518674966,2.710895572858106
330,2020-10-26,0.8955605149366236,2.1949595566556623,2.712459639983809
331,2020-10-27,1.1577546059489894,1.2180373184119087,2.5904202351523615
332,2020-10-28,-0.12003971295133434,0.6699431340497398,2.342575710816185
333,2020-10-29,-0.5512526381367752,0.004270342365808974,1.9642741173078802
334,2020-10-30,0.32714251883211753,-0.23004724910448418,1.4604272980316253
335,2020-10-31,1.606499423790005,0.3299442830420467,0.8771588539077462
336,2020-11-01,2.138303943051867,1.5393405487540022,0.7985045385138535
337,2020-11-02,2.080072413335299,1.984596186527079,1.0647128245434292
338,2020-11-03,4.853330371281156,3.541700380378366,1.640911775828299
339,2020-11-04,4.337491150910042,4.4808051620597515,2.255272849959713
340,2020-11-05,4.31960587944718,4.746721143888411,3.2186265096173625
341,2020-11-06,6.097061447848752,5.07868925246118,4.386840553159834
342,2020-11-07,1.3740618145331693,4.22795818438577,4.090564836440185
343,2020-11-08,0.9360681286068997,2.0416652951419714,3.3724417783490788
344,2020-11-09,2.923019041235483,1.217215642972188,3.410850290536926
345,2020-11-10,2.849909270640576,1.8914893227770693,3.0533893339643203
346,2020-11-11,2.980884559035987,2.888088992727415,2.802858485980884
347,2020-11-12,4.588512599498694,3.7228999797635765,2.7928270932952692
348,2020-11-13,2.8457495769593653,3.7299001211392886,2.1022268074480324
349,2020-11-14,3.1347555877265036,3.6863094167950994,2.5469227545230613
350,2020-11-15,0.3654943998292968,2.3106749968699916,2.8839592700328076
